case_id,gold_fields,pred_fields
"e00","[""数量"", ""日期""]","[""单位"", ""数量"", ""日期""]"
"e01","[""型号"", ""日期""]","[""型号"", ""日期""]"
"e02","[""价格"", ""日期""]","[""价格"", ""日期""]"
"e03","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e04","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e05","[""价格"", ""品牌""]","[""价格"", ""品牌""]"
"e06","[""单位"", ""日期""]","[""单位"", ""日期""]"
"e07","[""价格"", ""品牌""]","[""价格"", ""品牌""]"
"e08","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e09","[""单位"", ""型号""]","[""单位"", ""型号""]"
"e10","[""型号"", ""数量""]","[""价格"", ""型号"", ""数量""]"
"e11","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
