case_id,gold_fields,pred_fields
"e00","[""型号"", ""数量""]","[""型号"", ""数量"", ""日期""]"
"e01","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e02","[""品牌"", ""日期""]","[""价格"", ""品牌"", ""日期""]"
"e03","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e04","[""价格""]","[""价格""]"
"e05","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e06","[""价格""]","[""价格""]"
"e07","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e08","[""型号"", ""日期""]","[""型号"", ""日期""]"
"e09","[""单位"", ""日期""]","[""单位"", ""日期""]"
"e10","[""价格"", ""日期""]","[""价格"", ""日期""]"
"e11","[""价格"", ""日期""]","[""价格"", ""日期""]"
