case_id,gold_fields,pred_fields
"e00","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e01","[""型号"", ""日期""]","[""品牌"", ""型号"", ""日期""]"
"e02","[""价格"", ""数量""]","[""价格"", ""数量""]"
"e03","[""单位""]","[""单位""]"
"e04","[""单位"", ""日期""]","[""单位"", ""日期""]"
"e05","[""价格"", ""数量""]","[""价格"", ""数量""]"
"e06","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e07","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e08","[""单位"", ""型号""]","[""单位"", ""型号""]"
"e09","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e10","[""型号"", ""日期""]","[""价格"", ""型号"", ""日期""]"
"e11","[""数量"", ""日期""]","[""数量"", ""日期""]"
