case_id,gold_fields,pred_fields
"e00","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e01","[""品牌"", ""数量""]","[""品牌"", ""数量""]"
"e02","[""价格"", ""型号""]","[""价格"", ""型号""]"
"e03","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e04","[""数量""]","[""数量""]"
"e05","[""价格"", ""型号""]","[""价格"", ""型号"", ""日期""]"
"e06","[""单位"", ""日期""]","[""单位"", ""日期""]"
"e07","[""型号""]","[""型号""]"
"e08","[""品牌"", ""日期""]","[""价格"", ""品牌"", ""日期""]"
"e09","[""单位"", ""型号""]","[""单位"", ""型号""]"
"e10","[""品牌"", ""型号""]","[""单位"", ""品牌"", ""型号""]"
"e11","[""价格"", ""型号""]","[""价格"", ""型号"", ""数量""]"
