case_id,gold,pred,score
"c00","neg","neg","0.0242"
"c01","neg","neg","0.0574"
"c02","neg","neg","0.4176"
"c03","pos","pos","0.9879"
"c04","neg","pos","0.3653"
"c05","pos","pos","0.8310"
"c06","pos","pos","0.9380"
"c07","neg","neg","0.2045"
"c08","pos","neg","0.5970"
"c09","neg","pos","0.2570"
"c10","neg","neg","0.1109"
"c11","neg","neg","0.1245"
"c12","neg","neg","0.0595"
"c13","neg","pos","0.2156"
"c14","neg","pos","0.1594"
"c15","pos","neg","0.7693"
"c16","pos","pos","0.8582"
"c17","neg","neg","0.3095"
"c18","neg","neg","0.3657"
"c19","neg","neg","0.1067"
"c20","pos","neg","0.8231"
"c21","neg","neg","0.2052"
"c22","pos","pos","0.9626"
"c23","pos","pos","0.9686"
