case_id,gold,pred,score
"c00","neg","neg","0.0589"
"c01","neg","pos","0.0393"
"c02","pos","pos","0.7812"
"c03","neg","neg","0.1514"
"c04","neg","pos","0.3470"
"c05","pos","pos","0.9500"
"c06","neg","neg","0.2950"
"c07","neg","neg","0.4036"
"c08","pos","pos","0.8411"
"c09","neg","neg","0.2113"
"c10","pos","pos","0.6595"
"c11","neg","neg","0.0843"
"c12","pos","pos","0.7397"
"c13","neg","neg","0.2151"
"c14","neg","neg","0.2405"
"c15","neg","neg","0.2398"
"c16","neg","pos","0.1486"
"c17","pos","pos","0.8583"
"c18","neg","pos","0.2563"
"c19","neg","neg","0.3187"
"c20","neg","neg","0.1519"
"c21","pos","pos","0.6284"
"c22","neg","neg","0.4284"
"c23","pos","pos","0.9454"
