case_id,gold,pred,score
"c00","neg","neg","0.3940"
"c01","neg","neg","0.0152"
"c02","pos","pos","0.8323"
"c03","neg","neg","0.3891"
"c04","neg","neg","0.2239"
"c05","pos","pos","0.6775"
"c06","neg","neg","0.0881"
"c07","pos","pos","0.6833"
"c08","neg","pos","0.3522"
"c09","pos","pos","0.8243"
"c10","neg","neg","0.3990"
"c11","neg","neg","0.0422"
"c12","pos","pos","0.6939"
"c13","pos","pos","0.5508"
"c14","neg","pos","0.2228"
"c15","pos","neg","0.7598"
"c16","pos","pos","0.8218"
"c17","pos","neg","0.8522"
"c18","neg","neg","0.3731"
"c19","pos","neg","0.9585"
"c20","pos","pos","0.5819"
"c21","neg","neg","0.0367"
"c22","pos","neg","0.7191"
"c23","neg","neg","0.3449"
