case_id,gold_fields,pred_fields
"e00","[""单位"", ""品牌""]","[""单位"", ""品牌""]"
"e01","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e02","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e03","[""品牌"", ""数量""]","[""品牌"", ""数量""]"
"e04","[""价格"", ""日期""]","[""价格"", ""日期""]"
"e05","[""单位"", ""品牌""]","[""单位"", ""品牌""]"
"e06","[""单位""]","[""单位""]"
"e07","[""价格"", ""型号""]","[""价格"", ""型号""]"
"e08","[""型号"", ""日期""]","[""单位"", ""型号"", ""日期""]"
"e09","[""单位"", ""品牌""]","[""单位"", ""品牌""]"
"e10","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e11","[""单位"", ""日期""]","[""单位"", ""日期""]"
