case_id,gold_fields,pred_fields
"e00","[""数量"", ""日期""]","[""价格"", ""数量"", ""日期""]"
"e01","[""价格"", ""型号""]","[""价格"", ""型号""]"
"e02","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e03","[""价格"", ""单位""]","[""价格"", ""单位""]"
"e04","[""价格"", ""数量""]","[""价格"", ""品牌"", ""数量""]"
"e05","[""单位"", ""型号""]","[""单位"", ""品牌"", ""型号""]"
"e06","[""价格"", ""品牌""]","[""价格"", ""品牌""]"
"e07","[""数量"", ""日期""]","[""价格"", ""数量"", ""日期""]"
"e08","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e09","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e10","[""价格"", ""型号""]","[""价格"", ""型号""]"
"e11","[""单位"", ""数量""]","[""单位"", ""数量""]"
