case_id,gold_fields,pred_fields
"e00","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e01","[""价格"", ""数量""]","[""价格"", ""单位"", ""数量""]"
"e02","[""型号"", ""日期""]","[""型号"", ""日期""]"
"e03","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e04","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e05","[""价格"", ""品牌""]","[""价格"", ""品牌""]"
"e06","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e07","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e08","[""型号"", ""日期""]","[""型号"", ""日期""]"
"e09","[""单位"", ""日期""]","[""单位"", ""品牌"", ""日期""]"
"e10","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e11","[""价格"", ""单位""]","[""价格"", ""单位"", ""品牌""]"
