case_id,gold,pred,score
"c00","pos","pos","0.9281"
"c01","neg","neg","0.4376"
"c02","neg","neg","0.0124"
"c03","neg","neg","0.1231"
"c04","neg","neg","0.1109"
"c05","neg","neg","0.0874"
"c06","neg","neg","0.3298"
"c07","pos","pos","0.6691"
"c08","pos","pos","0.6330"
"c09","pos","pos","0.6972"
"c10","pos","pos","0.8079"
"c11","neg","neg","0.4160"
"c12","neg","neg","0.3285"
"c13","neg","pos","0.3013"
"c14","pos","pos","0.9862"
"c15","pos","pos","0.9040"
"c16","pos","pos","0.8905"
"c17","pos","pos","0.7124"
"c18","pos","pos","0.9132"
"c19","pos","pos","0.9849"
"c20","neg","neg","0.4335"
"c21","neg","neg","0.0661"
"c22","neg","neg","0.0409"
"c23","neg","pos","0.2387"
