case_id,gold,pred,score
"c00","neg","pos","0.1536"
"c01","neg","neg","0.3031"
"c02","pos","pos","0.9366"
"c03","pos","pos","0.6975"
"c04","neg","neg","0.4273"
"c05","neg","neg","0.4294"
"c06","neg","neg","0.0480"
"c07","neg","neg","0.1534"
"c08","neg","pos","0.2323"
"c09","neg","neg","0.0591"
"c10","pos","neg","0.7678"
"c11","pos","pos","0.9272"
"c12","pos","pos","0.9111"
"c13","neg","neg","0.4033"
"c14","pos","pos","0.9058"
"c15","neg","neg","0.0243"
"c16","pos","pos","0.8432"
"c17","neg","neg","0.4322"
"c18","pos","neg","0.8752"
"c19","pos","pos","0.7978"
"c20","pos","pos","0.6693"
"c21","pos","pos","0.5672"
"c22","neg","neg","0.0926"
"c23","neg","neg","0.1709"
