case_id,gold,pred,score
"c00","pos","neg","0.9001"
"c01","pos","pos","0.6899"
"c02","pos","neg","0.5623"
"c03","pos","pos","0.6863"
"c04","neg","neg","0.3094"
"c05","pos","pos","0.7628"
"c06","pos","pos","0.8977"
"c07","pos","pos","0.6768"
"c08","neg","neg","0.3966"
"c09","pos","pos","0.8495"
"c10","neg","neg","0.0437"
"c11","pos","pos","0.7825"
"c12","neg","neg","0.1264"
"c13","neg","neg","0.0275"
"c14","pos","pos","0.9619"
"c15","neg","neg","0.0328"
"c16","neg","neg","0.1404"
"c17","pos","pos","0.9387"
"c18","neg","neg","0.2461"
"c19","pos","pos","0.6800"
"c20","neg","pos","0.0902"
"c21","neg","neg","0.1253"
"c22","pos","pos","0.8790"
"c23","neg","neg","0.0642"
