case_id,gold_fields,pred_fields
"e00","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e01","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e02","[""单位"", ""日期""]","[""单位"", ""型号"", ""日期""]"
"e03","[""价格"", ""品牌""]","[""价格"", ""品牌""]"
"e04","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e05","[""品牌"", ""数量""]","[""品牌"", ""数量""]"
"e06","[""型号"", ""数量""]","[""单位"", ""型号"", ""数量""]"
"e07","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e08","[""单位""]","[""单位""]"
"e09","[""单位""]","[""单位""]"
"e10","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e11","[""价格"", ""型号""]","[""价格"", ""型号""]"
