case_id,latency_ms,tokens_in,tokens_out
"l00","737.9","1225","540"
"l01","482.6","689","404"
"l02","564.5","293","418"
"l03","224.1","1783","504"
"l04","174.3","1015","192"
"l05","711.8","670","259"
"l06","229.2","1644","206"
"l07","169.4","1028","295"
"l08","461.8","486","537"
"l09","466.9","1055","220"
"l10","452.0","1636","391"
"l11","262.4","1445","274"
"l12","664.7","769","110"
"l13","226.6","1087","526"
"l14","545.5","619","373"
"l15","758.9","1152","425"
"l16","874.4","793","398"
"l17","252.0","1738","105"
"l18","153.3","1278","491"
"l19","282.6","399","76"
