case_id,gold,pred,score
"c00","neg","neg","0.0418"
"c01","neg","neg","0.4300"
"c02","neg","neg","0.1742"
"c03","pos","pos","0.6495"
"c04","pos","neg","0.6705"
"c05","pos","pos","0.7030"
"c06","pos","pos","0.8330"
"c07","pos","neg","0.6100"
"c08","neg","neg","0.1342"
"c09","neg","pos","0.2431"
"c10","pos","pos","0.8343"
"c11","neg","pos","0.2806"
"c12","pos","pos","0.7131"
"c13","pos","pos","0.7609"
"c14","neg","pos","0.2261"
"c15","pos","neg","0.9358"
"c16","neg","neg","0.2821"
"c17","pos","pos","0.6531"
"c18","neg","neg","0.3297"
"c19","neg","pos","0.3886"
"c20","neg","neg","0.2217"
"c21","neg","neg","0.3540"
"c22","neg","neg","0.0483"
"c23","neg","neg","0.3431"
