case_id,gold,pred,score
"c00","pos","pos","0.6598"
"c01","neg","neg","0.4019"
"c02","neg","neg","0.2804"
"c03","neg","pos","0.3319"
"c04","pos","pos","0.8715"
"c05","pos","neg","0.5580"
"c06","pos","neg","0.9223"
"c07","pos","pos","0.8300"
"c08","neg","neg","0.0681"
"c09","pos","pos","0.5982"
"c10","pos","pos","0.6781"
"c11","pos","pos","0.9748"
"c12","neg","neg","0.1559"
"c13","pos","pos","0.7319"
"c14","pos","pos","0.9791"
"c15","neg","neg","0.4101"
"c16","neg","neg","0.4301"
"c17","neg","pos","0.0394"
"c18","neg","pos","0.4032"
"c19","neg","pos","0.1014"
"c20","neg","neg","0.1931"
"c21","pos","pos","0.5518"
"c22","pos","pos","0.7569"
"c23","neg","neg","0.2451"
