case_id,latency_ms,tokens_in,tokens_out
"l00","502.3","1624","131"
"l01","250.6","842","585"
"l02","153.1","1280","433"
"l03","226.1","1599","153"
"l04","318.9","1610","324"
"l05","629.5","1410","213"
"l06","415.0","1779","169"
"l07","851.8","1706","73"
"l08","210.3","528","104"
"l09","659.4","329","511"
"l10","586.4","777","384"
"l11","589.1","940","534"
"l12","725.5","1373","175"
"l13","877.8","877","221"
"l14","266.4","558","474"
"l15","175.8","791","552"
"l16","854.3","1463","308"
"l17","502.3","762","515"
"l18","474.9","353","298"
"l19","142.1","270","565"
