case_id,latency_ms,tokens_in,tokens_out
"l00","174.2","244","336"
"l01","462.3","513","368"
"l02","446.5","1594","485"
"l03","789.8","1206","69"
"l04","675.1","1046","397"
"l05","421.4","1217","367"
"l06","721.1","774","545"
"l07","285.1","1653","89"
"l08","665.2","1576","491"
"l09","356.8","1320","328"
"l10","136.2","1374","452"
"l11","161.8","1417","534"
"l12","569.1","1758","275"
"l13","696.6","991","556"
"l14","262.0","1101","366"
"l15","548.1","1311","480"
"l16","501.7","619","491"
"l17","507.0","1393","97"
"l18","557.9","1068","84"
"l19","442.9","1217","372"
