case_id,gold_fields,pred_fields
"e00","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e01","[""型号"", ""日期""]","[""型号"", ""数量"", ""日期""]"
"e02","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e03","[""数量""]","[""数量""]"
"e04","[""品牌"", ""数量""]","[""品牌"", ""数量""]"
"e05","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e06","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e07","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e08","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e09","[""单位"", ""型号""]","[""单位"", ""型号""]"
"e10","[""单位"", ""型号""]","[""单位"", ""型号""]"
"e11","[""价格"", ""品牌""]","[""价格"", ""品牌""]"
