case_id,gold_fields,pred_fields
"e00","[""型号""]","[""型号""]"
"e01","[""型号"", ""日期""]","[""品牌"", ""型号"", ""日期""]"
"e02","[""日期""]","[""日期""]"
"e03","[""型号"", ""日期""]","[""型号"", ""日期""]"
"e04","[""单位"", ""型号""]","[""单位"", ""型号""]"
"e05","[""品牌"", ""日期""]","[""品牌"", ""数量"", ""日期""]"
"e06","[""价格"", ""型号""]","[""价格"", ""型号""]"
"e07","[""单位"", ""品牌""]","[""单位"", ""品牌""]"
"e08","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e09","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e10","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e11","[""单位"", ""数量""]","[""单位"", ""数量""]"
