case_id,gold_fields,pred_fields
"e00","[""单位"", ""日期""]","[""单位"", ""日期""]"
"e01","[""单位""]","[""单位"", ""数量""]"
"e02","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e03","[""价格"", ""数量""]","[""价格"", ""数量"", ""日期""]"
"e04","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e05","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e06","[""价格"", ""型号""]","[""价格"", ""型号"", ""日期""]"
"e07","[""单位"", ""型号""]","[""单位"", ""型号""]"
"e08","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e09","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e10","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e11","[""单位"", ""日期""]","[""单位"", ""日期""]"
