case_id,latency_ms,tokens_in,tokens_out
"l00","187.1","1363","255"
"l01","373.3","1034","56"
"l02","768.9","615","322"
"l03","849.6","1236","558"
"l04","451.3","1262","368"
"l05","205.0","560","526"
"l06","403.7","1013","523"
"l07","800.9","689","501"
"l08","643.3","1439","439"
"l09","805.5","903","86"
"l10","771.9","509","430"
"l11","834.7","1234","448"
"l12","250.5","1248","53"
"l13","313.6","1721","377"
"l14","591.1","417","174"
"l15","708.4","656","558"
"l16","218.3","1132","65"
"l17","496.7","1206","213"
"l18","330.4","446","52"
"l19","826.0","1510","426"
