case_id,gold_fields,pred_fields
"e00","[""价格"", ""品牌""]","[""价格"", ""品牌""]"
"e01","[""单位""]","[""单位"", ""品牌""]"
"e02","[""价格"", ""型号""]","[""价格"", ""型号""]"
"e03","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e04","[""价格"", ""型号""]","[""价格"", ""型号""]"
"e05","[""型号"", ""日期""]","[""型号"", ""日期""]"
"e06","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e07","[""型号""]","[""型号""]"
"e08","[""价格"", ""单位""]","[""价格"", ""单位""]"
"e09","[""型号""]","[""型号""]"
"e10","[""型号"", ""日期""]","[""型号"", ""日期""]"
"e11","[""单位""]","[""单位""]"
