case_id,latency_ms,tokens_in,tokens_out
"l00","382.0","258","343"
"l01","301.2","814","590"
"l02","308.2","890","162"
"l03","350.8","1374","161"
"l04","143.8","727","447"
"l05","577.9","392","491"
"l06","714.0","455","482"
"l07","556.4","200","262"
"l08","777.2","596","170"
"l09","554.3","1076","125"
"l10","874.3","660","413"
"l11","737.7","472","78"
"l12","652.1","1519","68"
"l13","666.5","1608","291"
"l14","581.9","945","163"
"l15","894.3","1414","261"
"l16","647.0","654","158"
"l17","610.9","717","489"
"l18","799.5","1361","226"
"l19","609.4","1208","99"
