case_id,gold,pred,score
"c00","neg","neg","0.3753"
"c01","pos","pos","0.6365"
"c02","neg","neg","0.1876"
"c03","pos","neg","0.9259"
"c04","pos","pos","0.9475"
"c05","pos","pos","0.7235"
"c06","neg","neg","0.4316"
"c07","pos","pos","0.8892"
"c08","pos","neg","0.8574"
"c09","pos","neg","0.9535"
"c10","pos","pos","0.8708"
"c11","pos","pos","0.6661"
"c12","neg","neg","0.2044"
"c13","neg","neg","0.1481"
"c14","neg","pos","0.4466"
"c15","pos","pos","0.6177"
"c16","pos","pos","0.6475"
"c17","pos","pos","0.6376"
"c18","neg","neg","0.4490"
"c19","pos","neg","0.8278"
"c20","neg","neg","0.0969"
"c21","neg","neg","0.3616"
"c22","pos","pos","0.6655"
"c23","neg","neg","0.0901"
