case_id,gold,pred,score
"c00","pos","pos","0.5947"
"c01","pos","pos","0.9211"
"c02","neg","neg","0.1256"
"c03","pos","neg","0.9257"
"c04","pos","pos","0.6582"
"c05","neg","neg","0.0968"
"c06","neg","pos","0.2096"
"c07","pos","pos","0.6077"
"c08","pos","neg","0.6931"
"c09","neg","pos","0.2061"
"c10","neg","neg","0.1156"
"c11","pos","neg","0.8694"
"c12","pos","pos","0.8231"
"c13","neg","neg","0.1414"
"c14","neg","pos","0.1003"
"c15","neg","pos","0.0905"
"c16","neg","neg","0.0972"
"c17","neg","neg","0.1592"
"c18","pos","neg","0.9147"
"c19","pos","pos","0.8302"
"c20","pos","pos","0.6026"
"c21","pos","pos","0.5944"
"c22","neg","neg","0.3436"
"c23","neg","neg","0.0207"
