case_id,gold_fields,pred_fields
"e00","[""品牌"", ""数量""]","[""品牌"", ""型号"", ""数量""]"
"e01","[""价格"", ""数量""]","[""价格"", ""数量""]"
"e02","[""品牌""]","[""品牌""]"
"e03","[""单位"", ""日期""]","[""单位"", ""日期""]"
"e04","[""单位"", ""品牌""]","[""单位"", ""品牌""]"
"e05","[""单位"", ""品牌""]","[""单位"", ""品牌"", ""数量""]"
"e06","[""价格"", ""日期""]","[""价格"", ""日期""]"
"e07","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e08","[""价格"", ""品牌""]","[""价格"", ""品牌"", ""日期""]"
"e09","[""单位"", ""品牌""]","[""单位"", ""品牌""]"
"e10","[""型号"", ""日期""]","[""型号"", ""日期""]"
"e11","[""单位"", ""品牌""]","[""单位"", ""品牌""]"
