case_id,latency_ms,tokens_in,tokens_out
"l00","180.2","886","219"
"l01","466.3","342","400"
"l02","776.9","824","459"
"l03","520.9","1058","162"
"l04","561.0","979","553"
"l05","629.7","1763","230"
"l06","833.5","750","389"
"l07","505.6","425","167"
"l08","811.6","801","52"
"l09","374.8","789","124"
"l10","162.4","913","144"
"l11","419.3","788","249"
"l12","760.5","838","236"
"l13","458.2","1452","107"
"l14","667.5","696","161"
"l15","539.1","434","223"
"l16","878.4","209","243"
"l17","474.5","1323","425"
"l18","744.3","999","437"
"l19","760.6","518","136"
