case_id,gold,pred,score
"c00","pos","pos","0.6993"
"c01","pos","pos","0.7288"
"c02","pos","pos","0.7324"
"c03","pos","neg","0.6995"
"c04","neg","neg","0.2623"
"c05","neg","neg","0.0933"
"c06","pos","pos","0.8615"
"c07","pos","pos","0.8795"
"c08","pos","pos","0.8535"
"c09","neg","neg","0.4285"
"c10","neg","neg","0.3801"
"c11","pos","pos","0.5862"
"c12","pos","pos","0.6346"
"c13","pos","pos","0.8491"
"c14","neg","neg","0.3581"
"c15","pos","pos","0.7506"
"c16","neg","neg","0.3274"
"c17","neg","neg","0.1659"
"c18","neg","neg","0.3247"
"c19","pos","pos","0.7685"
"c20","neg","neg","0.3052"
"c21","pos","pos","0.6383"
"c22","neg","neg","0.1834"
"c23","pos","pos","0.6873"
