case_id,gold_fields,pred_fields
"e00","[""价格"", ""日期""]","[""价格"", ""日期""]"
"e01","[""价格"", ""单位""]","[""价格"", ""单位""]"
"e02","[""单位"", ""型号""]","[""单位"", ""型号""]"
"e03","[""价格"", ""单位""]","[""价格"", ""单位""]"
"e04","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e05","[""价格"", ""单位""]","[""价格"", ""单位""]"
"e06","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e07","[""单位"", ""型号""]","[""单位"", ""型号"", ""数量""]"
"e08","[""单位"", ""型号""]","[""单位"", ""型号""]"
"e09","[""型号"", ""日期""]","[""型号"", ""数量"", ""日期""]"
"e10","[""价格""]","[""价格"", ""日期""]"
"e11","[""单位"", ""品牌""]","[""单位"", ""品牌"", ""日期""]"
