case_id,gold_fields,pred_fields
"e00","[""单位"", ""型号""]","[""单位"", ""型号""]"
"e01","[""价格"", ""单位""]","[""价格"", ""单位""]"
"e02","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e03","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e04","[""价格"", ""日期""]","[""价格"", ""日期""]"
"e05","[""数量"", ""日期""]","[""品牌"", ""数量"", ""日期""]"
"e06","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e07","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e08","[""单位"", ""品牌""]","[""单位"", ""品牌""]"
"e09","[""型号"", ""数量""]","[""型号"", ""数量""]"
"e10","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e11","[""单位""]","[""单位""]"
