case_id,gold_fields,pred_fields
"e00","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e01","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e02","[""价格""]","[""价格""]"
"e03","[""日期""]","[""品牌"", ""日期""]"
"e04","[""单位"", ""日期""]","[""单位"", ""日期""]"
"e05","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e06","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e07","[""单位"", ""日期""]","[""单位"", ""日期""]"
"e08","[""单位"", ""品牌""]","[""单位"", ""品牌""]"
"e09","[""单位"", ""日期""]","[""单位"", ""日期""]"
"e10","[""价格"", ""单位""]","[""价格"", ""单位"", ""品牌""]"
"e11","[""型号""]","[""型号""]"
