case_id,gold,pred,score
"c00","neg","neg","0.3782"
"c01","neg","neg","0.4282"
"c02","pos","neg","0.8785"
"c03","pos","pos","0.6054"
"c04","neg","neg","0.0529"
"c05","pos","neg","0.6179"
"c06","neg","pos","0.1406"
"c07","neg","neg","0.1444"
"c08","pos","neg","0.7564"
"c09","neg","pos","0.3558"
"c10","pos","pos","0.6241"
"c11","pos","pos","0.8720"
"c12","neg","pos","0.3567"
"c13","neg","pos","0.1744"
"c14","pos","pos","0.9508"
"c15","neg","neg","0.0377"
"c16","neg","pos","0.1726"
"c17","neg","pos","0.3742"
"c18","neg","pos","0.0868"
"c19","neg","neg","0.1398"
"c20","pos","pos","0.8375"
"c21","neg","neg","0.2683"
"c22","neg","neg","0.4254"
"c23","pos","pos","0.7663"
