case_id,gold_fields,pred_fields
"e00","[""型号"", ""日期""]","[""型号"", ""日期""]"
"e01","[""数量"", ""日期""]","[""型号"", ""数量"", ""日期""]"
"e02","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e03","[""价格"", ""品牌""]","[""价格"", ""品牌"", ""日期""]"
"e04","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e05","[""价格"", ""数量""]","[""价格"", ""数量""]"
"e06","[""价格"", ""日期""]","[""价格"", ""日期""]"
"e07","[""单位"", ""品牌""]","[""单位"", ""品牌""]"
"e08","[""数量""]","[""数量""]"
"e09","[""价格"", ""日期""]","[""价格"", ""日期""]"
"e10","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e11","[""型号"", ""数量""]","[""型号"", ""数量""]"
