date,equity,benchmark
2026-06-01,1.000000,1.009663
2026-06-02,1.003747,1.011376
2026-06-03,1.007437,1.012954
2026-06-04,1.011011,1.014385
2026-06-05,1.014417,1.015657
2026-06-08,1.017602,1.016761
2026-06-09,1.020520,1.017689
2026-06-10,1.023129,1.018435
2026-06-11,1.025396,1.018998
2026-06-12,1.027293,1.019375
2026-06-15,1.028798,1.019569
2026-06-16,1.029900,1.019583
2026-06-17,1.030594,1.019424
2026-06-18,1.030886,1.019099
2026-06-19,1.030786,1.018619
2026-06-22,1.030316,1.017995
2026-06-23,1.029503,1.017242
2026-06-24,1.028382,1.016375
2026-06-25,1.026995,1.015411
2026-06-26,1.025388,1.014367
2026-06-29,1.023613,1.013264
2026-06-30,1.021722,1.012121
2026-07-01,1.019775,1.010957
2026-07-02,1.017828,1.009794
2026-07-03,1.015939,1.008652
2026-07-06,1.014166,1.007552
2026-07-07,1.012562,1.006512
2026-07-08,1.011179,1.005552
2026-07-09,1.010064,1.004691
2026-07-10,1.009257,1.003944
2026-07-13,1.008793,1.003328
2026-07-14,1.008700,1.002855
2026-07-15,1.008998,1.002538
2026-07-16,1.009700,1.002388
2026-07-17,1.010809,1.002411
2026-07-20,1.012322,1.002614
2026-07-21,1.014225,1.003001
2026-07-22,1.016498,1.003573
2026-07-23,1.019114,1.004329
2026-07-24,1.022037,1.005266
2026-07-27,1.025226,1.006378
2026-07-28,1.028635,1.007659
2026-07-29,1.032212,1.009098
2026-07-30,1.035903,1.010683
2026-07-31,1.039651,1.012402
2026-08-03,1.043397,1.014240
2026-08-04,1.047085,1.016179
2026-08-05,1.050657,1.018202
2026-08-06,1.054059,1.020291
2026-08-07,1.057240,1.022426
2026-08-10,1.060153,1.024586
2026-08-11,1.062757,1.026751
2026-08-12,1.065017,1.028901
2026-08-13,1.066907,1.031014
2026-08-14,1.068405,1.033073
2026-08-17,1.069500,1.035056
2026-08-18,1.070187,1.036946
2026-08-19,1.070471,1.038726
2026-08-20,1.070365,1.040380
2026-08-21,1.069888,1.041893
