case_id,gold_fields,pred_fields
"e00","[""品牌""]","[""品牌""]"
"e01","[""品牌"", ""数量""]","[""品牌"", ""数量""]"
"e02","[""数量""]","[""数量""]"
"e03","[""单位"", ""型号""]","[""单位"", ""型号""]"
"e04","[""品牌"", ""型号""]","[""品牌"", ""型号""]"
"e05","[""型号"", ""日期""]","[""单位"", ""型号"", ""日期""]"
"e06","[""价格"", ""数量""]","[""价格"", ""型号"", ""数量""]"
"e07","[""单位""]","[""单位""]"
"e08","[""单位"", ""数量""]","[""单位"", ""数量""]"
"e09","[""品牌"", ""数量""]","[""品牌"", ""数量""]"
"e10","[""数量"", ""日期""]","[""数量"", ""日期""]"
"e11","[""价格"", ""日期""]","[""价格"", ""日期""]"
