case_id,gold,pred,score
"c00","neg","neg","0.0333"
"c01","pos","pos","0.7433"
"c02","pos","pos","0.6718"
"c03","pos","pos","0.6441"
"c04","neg","neg","0.2702"
"c05","pos","pos","0.9659"
"c06","neg","neg","0.3622"
"c07","neg","neg","0.0567"
"c08","pos","pos","0.7186"
"c09","pos","pos","0.8060"
"c10","neg","neg","0.2292"
"c11","pos","pos","0.5830"
"c12","neg","neg","0.3171"
"c13","pos","pos","0.8194"
"c14","pos","pos","0.8710"
"c15","pos","pos","0.8339"
"c16","pos","pos","0.6822"
"c17","neg","pos","0.3625"
"c18","neg","neg","0.0752"
"c19","neg","neg","0.1897"
"c20","pos","pos","0.7883"
"c21","pos","pos","0.7247"
"c22","pos","neg","0.9145"
"c23","pos","pos","0.9455"
