case_id,latency_ms,tokens_in,tokens_out
"l00","180.2","1246","248"
"l01","854.5","1257","166"
"l02","532.1","1707","88"
"l03","192.6","861","555"
"l04","567.0","1435","233"
"l05","526.5","1203","480"
"l06","803.3","1589","385"
"l07","484.8","785","136"
"l08","274.2","259","65"
"l09","665.2","790","351"
"l10","565.4","1374","325"
"l11","807.9","865","519"
"l12","529.2","724","199"
"l13","417.3","1178","519"
"l14","349.2","1109","246"
"l15","641.1","1061","555"
"l16","844.6","461","559"
"l17","523.7","447","506"
"l18","462.7","1296","56"
"l19","309.4","1438","499"
